"Ingredients","Generated Recipe"
"[""Flour"", ""Salt"", ""Baking Powder"", ""Sugar"", ""Crisco"", ""egg"", ""vinegar"", ""Water""]","Flour Salt Biscuits 
Ingredients:
2 cups all-purpose flour 
3/4 teaspoon salt 
1 tablespoon baking powder 
1/4 cup sugar 
2 tablespoons Crisco 
2 eggs 
2 tablespoons vinegar 
1/2 cup water 
Instructions:
1. Preheat oven to 350°F.
2. In a large bowl, mix together flour, salt, and baking powder.
3. Cut in Crisco until mixture resembles coarse crumbs.
4. In a separate bowl, whisk together eggs, vinegar, and water.
5. Slowly add egg mixture to dry ingredients, stirring until a soft dough is formed.
6. Turn dough out onto a lightly floured surface, and knead 5-6 times.
7. Roll out the dough to 1/2 inch thickness and cut with a biscuit cutter.
8. Place biscuits on an ungreased baking sheet and bake for 12-15 minutes or until golden brown."
"[""thin pretzels"", ""margarine""]","Pretzel Margarine Thins

Ingredients:
- 4 cups all-purpose flour
- 2 teaspoons salt
- 2 1/2 cups warm water
- 3 tablespoons sugar
- 2 tablespoons active dry yeast
- 2 tablespoons melted margarine

Instructions:

1. In a large bowl, combine the flour and salt and mix until evenly blended.

2. In a separate bowl, dissolve the sugar in the warm water, then stir in the yeast. Let sit for 5 minutes or until foamy.

3. Gradually add the yeast mixture to the flour mixture, stirring with a spoon until a soft dough forms.

4. Turn the dough out onto a lightly floured surface and knead for about 8 minutes until it is smooth and elastic.

5. Place the dough in a greased bowl and cover with a damp cloth. Let rise in a warm place for about 1 hour or until doubled in size.

6. Preheat oven to 425°F. Line a baking sheet with parchment paper.

7. Punch down the dough and roll into thin pretzel shapes. Place on the prepared baking sheet.

8. Bake for 12–14 minutes. Remove from oven and brush with melted margarine. Serve warm."
"[""sugar"", ""orange juice"", ""lemon juice""]","Orange and Lemon Summer Slush

Ingredients:

-1 cup sugar 
-1 cup orange juice 
-1 cup lemon juice 

Instructions:

1. In a medium bowl, mix together the sugar, orange juice, and lemon juice until the sugar is dissolved. 
2. Pour the mixture into a 9x13 inch baking dish and freeze for about 3 hours or until slushy. 
3. Scoop out the slush into individual glasses and enjoy!"
"[""sour cream"", ""mayo"", ""parsley flakes"", ""onion"", ""Worcestershire sauce"", ""Accent"", ""season salt"", ""dill weed""]","Sour Cream and Onion Parsley Flake Salad with Worcester Sauce and Accent:

Ingredients: 

- 1/2 cup sour cream
- 3 tablespoons mayonnaise
- 2 tablespoons finely chopped parsley flakes
- 2 teaspoons finely chopped onion
- 1 teaspoon Worcestershire sauce
- 1/4 teaspoon Accent
- 1/4 teaspoon season salt
- 1/4 teaspoon dill weed

Instructions:

1. In a medium bowl, stir together the sour cream, mayonnaise, parsley flakes, onion, Worcestershire sauce, Accent, season salt, and dill weed.

2. Mix until well blended.

3. Use immediately or refrigerate for up to one week."
"[""sugar"", ""water"", ""active dry yeast"", ""milk"", ""water"", ""salt"", ""sugar"", ""baking powder"", ""raisins"", ""egg yolks"", ""egg whites"", ""flour"", ""oil""]","Sourdough Raisin Bread
Ingredients: 
""Sugar"", ""Water"", ""Active dry yeast"", ""Milk"", ""Salt"", ""Sugar"", ""Baking powder"", ""Raisins"", ""Egg yolks"", ""Egg whites"", ""Flour"", ""Oil""

Instructions:
1. In a small bowl, combine 1 teaspoon of sugar and 2 ¼ teaspoons of active dry yeast with ¼ cup of warm water. Set aside and let it sit for 5 minutes.
2. In a medium bowl, combine the remaining sugar, salt, baking powder, and flour.
3. Heat the milk in a saucepan until it is lukewarm.
4. Add the yeast mixture and lukewarm milk to the dry ingredients and mix until a soft dough forms.
5. Place the dough onto a lightly floured work surface and knead for 5 minutes.
6. Place the dough in an oiled bowl and cover with a damp cloth. Let it rest for 1 hour.
7. Punch down the dough and knead again for 5 minutes.
8. Gently fold in the raisins.
9. Divide the dough into 4 equal pieces and shape into oblong loaves.
10. Place the loaves on a greased baking sheet and let them rise for 1 hour.
11. Preheat the oven to 375°F.
12. Beat the egg yolks and whites together and brush onto the loaves.
13. Bake for 25 minutes or until golden brown.
14. Let the loaves cool before slicing and serving."
"[""sweet roll"", ""cinnamon"", ""nuts"", ""milk"", ""butter"", ""brown sugar"", ""vanilla pudding""]","Cinnamon Sweet Roll Pudding

Ingredients:

- 1 package sweet rolls
- 2 tablespoons cinnamon
- 1/4 cup chopped nuts
- 1 cup of milk
- 2 tablespoons butter
- 2 tablespoons brown sugar
- 1 box vanilla pudding mix

Instructions:

1. Preheat oven to 350°F (175°C).

2. Grease a 9x13 inch baking dish with butter.

3. Cut the sweet rolls into 1 inch cubes and place them in the prepared dish.

4. Sprinkle the cinnamon, chopped nuts, and brown sugar over the top of the rolls.

5. In a medium bowl, whisk together the milk, butter, and pudding mix until completely combined.

6. Pour the pudding mixture over the cinnamon rolls.

7. Bake for 30 minutes or until golden brown.

8. Serve warm and enjoy!"
"[""chicken"", ""carrots"", ""garlic"", ""green bell pepper"", ""brown rice"", ""chili powder"", ""tomato sauce"", ""garlic"", ""pepper"", ""water"", ""cider vinegar"", ""onion"", ""olive oil"", ""bay leaf""]","Chicken Carrot Garlic Stir Fry
Ingredients:

- 2 chicken breasts, cut into small cubes
- 2 carrots, sliced into thin rounds
- 4 cloves garlic, minced
- 1 green bell pepper, diced
- ½ cup brown rice
- 1 teaspoon chili powder
- 2 tablespoons tomato sauce
- 2 cloves garlic, minced
- ½ teaspoon freshly ground black pepper
- ¼ cup water
- 2 tablespoons cider vinegar
- 1 onion, diced
- 2 tablespoons olive oil
- 1 bay leaf

Instructions:

1. Heat the olive oil in a large skillet or wok over medium-high heat.
2. Add the chicken and cook until lightly browned, about 5 minutes.
3. Add the carrots, garlic, green bell pepper, and brown rice. Cook for another 5 minutes, stirring occasionally.
4. Add the chili powder, tomato sauce, garlic, black pepper, and water. Reduce the heat to low and simmer for 10 minutes. 
5. Add the cider vinegar, onion, and bay leaf. Simmer for another 5 minutes, or until the vegetables are tender. 
6. Serve with steamed rice or noodles. Enjoy!"
"[""sweet potatoes"", ""green bell pepper"", ""onion"", ""lemon pepper"", ""mayonnaise"", ""pepper""]","Sweet Potato & Green Bell Pepper Salad with Lemon-Mayonnaise Dressing

Ingredients:

- 2 sweet potatoes, peeled and diced into 1/2 inch cubes
- 1 green bell pepper, seeded and diced
- 1 red onion, diced
- 1 lemon pepper, diced
- 2 tablespoons mayonnaise
- Salt, to taste
- Freshly ground black pepper, to taste
- 1 tablespoon chopped fresh parsley, for garnish

Instructions:

1. Preheat the oven to 400 degrees F.

2. Place the diced sweet potatoes onto a baking sheet and bake for 15 minutes, stirring occasionally until the potatoes are tender.

3. In a bowl, combine the cooked sweet potatoes, bell pepper, onion, and lemon pepper.

4. In a separate bowl, whisk together the mayonnaise, salt, and pepper.

5. Pour the mayonnaise mixture over the vegetable mixture and toss to coat.

6. Garnish with freshly chopped parsley. Enjoy!"
"[""sugar"", ""flour"", ""baking soda"", ""salt"", ""orange"", ""shortening""]","Orange Shortening Cookies

Ingredients:

- 2 cups all-purpose flour 
- 1 teaspoon baking soda 
- 1/2 teaspoon salt 
- 1 cup sugar 
- 3/4 cup shortening 
- 1/2 cup orange juice

Instructions:

1. Preheat oven to 375 degrees F (190 degrees C). 
2. In a medium bowl, sift together the flour, baking soda, and salt. 
3. In a large bowl, cream together the sugar and shortening. Beat in orange juice until blended. Gradually stir in the sifted ingredients. 
4. Drop by teaspoonfuls onto ungreased cookie sheets. 
5. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely."
"[""vegetable shortening"", ""eggs"", ""milk"", ""vanilla"", ""margarine"", ""sugar"", ""flour""]","Shortening Vanilla Cupcakes

Ingredients:
* 1/2 cup shortening 
* 2 eggs 
* 1/2 cup milk 
* 1 teaspoon vanilla 
* 1/2 cup margarine 
* 1 cup sugar 
* 2 cups all-purpose flour 

Instructions:
1. Preheat oven to 350°F (175°C). Grease and flour 12 muffin cups, or line with paper baking cups.
2. In a large bowl, cream together the shortening, margarine and sugar until smooth. Beat in the eggs one at a time, then stir in the milk and vanilla.
3. Add the flour to the wet ingredients, stirring until just blended.
4. Spoon batter into prepared muffin cups. Bake for 20 minutes in preheated oven, or until a toothpick inserted into center of a cupcake comes out clean. Cool in pan 10 minutes before removing onto wire rack to cool completely."
