"Ingredients","Generated Recipe"
"[""Flour"", ""Salt"", ""Baking Powder"", ""Sugar"", ""Crisco"", ""egg"", ""vinegar"", ""Water""]","Fluffy Salted Biscuits
Ingredients: 
- 2 cups all-purpose flour
- 2 teaspoons baking powder
- 1 teaspoon salt
- 2 tablespoons sugar
- 2 tablespoons shortening (Crisco)
- 2 large eggs, lightly beaten
- 2 tablespoons white vinegar
- ¼ cup cold water

Instructions: 
1. Preheat oven to 425° F.
2. In a large bowl, sift together the flour, baking powder, and salt.
3. Using a pastry blender, cut in the shortening until it resembles course crumbs.
4. Gradually stir in the eggs, vinegar, and water just until the dough holds together.
5. Turn out onto a lightly floured surface and knead for 1 minute.
6. Roll out dough to about ½ inch thick and cut into desired shapes. Place on an ungreased cookie sheet.
7. Bake for 12-15 minutes, or until golden brown. Enjoy!"
"[""thin pretzels"", ""margarine""]","Thin Pretzel Margarine Pie

Ingredients:

- 2 cups thin pretzels
- 1/2 cup margarine, melted
- 3 tablespoons sugar
- 1/2 teaspoon ground cinnamon
- 1/4 teaspoon ground nutmeg
- 2 eggs
- 1/2 cup light brown sugar
- 1/4 cup corn syrup
- 2 teaspoons vanilla extract

Instructions:

1. Preheat oven to 350°F.

2. Place the pretzels in a medium bowl and pour melted margarine over the top. Sprinkle with sugar, cinnamon, and nutmeg. Stir until all the pretzels are coated.

3. Press the pretzel mixture into a 9-inch pie plate. Bake for 10 minutes.

4. Meanwhile, whisk together the eggs, brown sugar, corn syrup, and vanilla extract in a medium bowl. Once combined, pour the mixture over the baked crust.

5. Return to the oven and bake for an additional 20 minutes or until the center is set.

6. Allow to cool completely before slicing and serving. Enjoy!"
"[""sugar"", ""orange juice"", ""lemon juice""]","Orange-Lemon Juice Slush
Ingredients:

- 3/4 cup sugar
- 1/2 cup orange juice
- 1/2 cup lemon juice
- 2 cups ice

Instructions:

1. In a blender, combine the sugar with the orange and lemon juices.
2. Blend until the sugar is dissolved.
3. Add the ice and blend until slushy.
4. Serve immediately."
"[""sour cream"", ""mayo"", ""parsley flakes"", ""onion"", ""Worcestershire sauce"", ""Accent"", ""season salt"", ""dill weed""]","Sour Cream and Onion Parsley Flakes Salad

Ingredients: 
- 1/2 cup sour cream 
- 2 tablespoons mayonnaise 
- 2 tablespoons chopped fresh parsley flakes 
- 1/4 cup diced onion 
- 2 teaspoons Worcestershire sauce 
- 1 teaspoon Accent seasoning 
- 1/2 teaspoon season salt 
- 2 teaspoons dried dill weed

Instructions:
1. In a medium bowl, stir together the sour cream, mayonnaise, parsley flakes, onion, Worcestershire sauce, Accent seasoning, season salt and dried dill weed until evenly combined.
2. Refrigerate for at least 30 minutes before serving.
3. Serve chilled over your favorite salad greens. Enjoy!"
"[""sugar"", ""water"", ""active dry yeast"", ""milk"", ""water"", ""salt"", ""sugar"", ""baking powder"", ""raisins"", ""egg yolks"", ""egg whites"", ""flour"", ""oil""]","Raisin and Egg Bread
Ingredients
- 2 cups all purpose flour
- 1 teaspoon active dry yeast
- 1/4 cup sugar
- 1/2 teaspoon salt
- 2 tablespoons oil
- 3/4 cup warm water
- 3/4 cup milk
- 2 tablespoons baking powder
- 1/4 cup raisins
- 2 egg yolks
- 2 egg whites
Instructions

1. In a large bowl, combine the flour, yeast, sugar, and salt.

2. Make a well in the center and pour in the oil, warm water, and milk. Stir until just combined.

3. Add in the baking powder and raisins and mix until the dough has formed.

4. Knead the dough for 10 minutes on a lightly floured surface until it is smooth and elastic.

5. Place the dough into a greased bowl, cover with a damp cloth, and let rise for 1 hour.

6. Punch down the dough and shape into a loaf.

7. Place the dough into a greased 9x5 inch loaf pan.

8. Beat together the egg yolks and whites and brush them over the top of the dough.

9. Bake at 375F for 40 minutes or until the crust is golden brown and a toothpick inserted in the center comes out clean.

10. Allow to cool before slicing and serving. Enjoy!"
"[""sweet roll"", ""cinnamon"", ""nuts"", ""milk"", ""butter"", ""brown sugar"", ""vanilla pudding""]","Cinnamon Sweet Roll Bread Pudding
Ingredients:
  - 2 large sweet rolls, cut into cubes
  - 1/2 cup raisins (optional)
  - 1 teaspoon ground cinnamon
  - 1/2 cup chopped nuts
  - 2 cups milk
  - 4 tablespoons butter, melted
  - 1/4 cup packed brown sugar
  - 1 teaspoon vanilla extract
  - 2 tablespoons vanilla pudding mix

Instructions:
 Preheat oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish.

In the prepared baking dish, combine the sweet roll cubes, raisins, and ground cinnamon. In a medium bowl, stir together the chopped nuts, milk, melted butter, brown sugar, and vanilla extract. Pour the mixture over the sweet roll cubes, stirring until evenly coated.

Bake in preheated oven for 30 minutes. Sprinkle with the pudding mix, and continue baking for an additional 15 minutes. Serve warm."
"[""chicken"", ""carrots"", ""garlic"", ""green bell pepper"", ""brown rice"", ""chili powder"", ""tomato sauce"", ""garlic"", ""pepper"", ""water"", ""cider vinegar"", ""onion"", ""olive oil"", ""bay leaf""]","Chicken and Carrot Stir Fry 
Ingredients: 
- 2 chicken breasts, cut into strips 
- 1 cup carrots, chopped 
- 3 cloves of garlic, minced 
- 1 green bell pepper, sliced 
- ½ cup brown rice 
- 1 teaspoon chili powder 
- 2 tablespoons tomato sauce 
- 2 teaspoons garlic powder 
- 1 teaspoon black pepper 
- ¼ cup water 
- 2 tablespoons cider vinegar 
- 2 tablespoons onion, chopped 
- 2 tablespoons olive oil 
- 1 bay leaf 

Instructions:
1. Heat the olive oil in a large skillet over medium-high heat. 
2. Add the chicken strips and cook for 5 minutes until lightly browned. 
3. Add the carrots, onions, garlic, bell pepper, and bay leaf to the skillet and cook for an additional 5 minutes. 
4. Add the brown rice, chili powder, garlic powder, black pepper, tomato sauce, water, and cider vinegar. Reduce heat to low and allow to simmer for 15 minutes. 
5. Serve the stir fry with your favorite sides such as steamed vegetables or a salad. Enjoy!"
"[""sweet potatoes"", ""green bell pepper"", ""onion"", ""lemon pepper"", ""mayonnaise"", ""pepper""]","Sweet Potato and Green Bell Pepper Salad

Ingredients:

- 2 sweet potatoes, peeled and cubed
- 1 green bell pepper, diced
- ½ onion, diced
- ½ lemon pepper
- 2 tablespoons mayonnaise
- Salt and pepper to taste

Instructions:

1. Preheat oven to 375 degrees Fahrenheit.

2. Spread the cubed sweet potatoes onto a baking sheet lined with parchment paper.

3. Bake for 20 minutes, or until the sweet potatoes are tender.

4. In a large bowl, combine the cooked sweet potatoes, diced green bell pepper, diced onion, lemon pepper, mayonnaise, and salt and pepper.

5. Mix everything together thoroughly and serve."
"[""sugar"", ""flour"", ""baking soda"", ""salt"", ""orange"", ""shortening""]","Orange Sugar Cookies

Ingredients:

- 2 cups all-purpose flour
- 1 teaspoon baking soda
- ½ teaspoon salt
- 1 cup white sugar
- ½ cup shortening
- 2 eggs
- 1 teaspoon vanilla extract
- 2 tablespoons orange zest

Instructions:

1. Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.
2. In a medium bowl, cream together the sugar and shortening. Beat in eggs one at a time. Stir in vanilla, then orange zest.
3. In a separate bowl, sift together the flour, baking soda, and salt; stir into the creamed mixture.
4. Roll dough into small balls, and place onto the prepared cookie sheets. Bake for 8 to 10 minutes in the preheated oven, or until lightly brown. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely."
"[""vegetable shortening"", ""eggs"", ""milk"", ""vanilla"", ""margarine"", ""sugar"", ""flour""]","Vanilla Shortening Cake
Ingredients:
- 1/2 cup shortening
- 2 large eggs
- 1/2 cup milk
- 1 teaspoon vanilla extract
- 1/4 cup margarine
- 1/2 cup sugar
- 1 1/2 cups all-purpose flour
Instructions:
1. Preheat oven to 375 degrees F (190 degrees C). Grease and flour an 8 inch square pan.
2. In a medium bowl, cream together the shortening, eggs, milk, and vanilla.
3. In a separate bowl, combine the margarine, sugar, and flour. Stir into the creamed mixture until blended.
4. Pour batter into prepared pan and bake for 30 minutes or until a toothpick inserted into the center comes out clean.
5. Cool cake in pan before serving. Enjoy!"
