Ingredients,Generated Recipe
"[""Flour"", ""Salt"", ""Baking Powder"", ""Sugar"", ""Crisco"", ""egg"", ""vinegar"", ""Water""]","Flour Salt Biscuits
Ingredients:

1 cup Flour
1 teaspoon Salt
2 teaspoons Baking Powder
2 tablespoons Sugar
2 tablespoons Crisco
1 Egg
1 tablespoon Vinegar
1/4 cup Water

Instructions:

1. Preheat oven to 350°F.

2. In a medium bowl, combine the flour, salt, baking powder, and sugar. Cut in the Crisco with a pastry blender until the mixture resembles coarse meal.

3. Make a well in the center of the dry ingredients. Add the egg, vinegar, and water. Stir just until blended.

4. Turn the dough out onto a lightly floured surface and knead until it forms a ball. Roll out to 1/2 inch thick. Cut into 2-inch rounds. Place on an ungreased baking sheet.

5. Bake for 10-15 minutes or until golden brown. Serve warm. Enjoy!"
"[""thin pretzels"", ""margarine""]","Thin Pretzel Margarine Bars

Ingredients: 
- 2 cups thin pretzels, broken into small pieces
- 1/2 cup margarine, melted 
- 1/4 cup sugar
- 1/2 teaspoon ground cinnamon

Instructions: 
1. Preheat oven to 350 degrees F (175 degrees C).
2. In a medium bowl, mix together the broken pretzels, melted margarine, sugar, and cinnamon until well combined.
3. Spread the mixture into an 8x8 inch baking dish and press lightly.
4. Bake in preheated oven for 12 to 15 minutes or until golden brown.
5. Allow to cool before cutting into bars."
"[""sugar"", ""orange juice"", ""lemon juice""]","Orange-Lemon Sorbet
Ingredients:
-3/4 cup sugar
-1 cup orange juice
-1 cup lemon juice

Instructions:
1. In a medium saucepan, bring the sugar and orange juice to a boil over medium-high heat. Stir constantly until the sugar is dissolved.

2. Add the lemon juice and reduce the heat to low. Simmer for 10 minutes.

3. Pour the mixture into a shallow pan and freeze for 1 hour.

4. Remove the pan from the freezer and stir with a fork. Return to the freezer for another hour and repeat.

5. Continue the process of stirring and freezing until the mixture is frozen and slushy, about 4 hours total.

6. Scoop the sorbet into individual dishes and enjoy!"
"[""sour cream"", ""mayo"", ""parsley flakes"", ""onion"", ""Worcestershire sauce"", ""Accent"", ""season salt"", ""dill weed""]","Sour Cream, Mayo and Parsley Flake Salad

Ingredients:

- 1 cup sour cream 
- 1/2 cup mayonnaise 
- 1/4 cup parsley flakes
- 2 tablespoons finely chopped onion
- 2 teaspoons Worcestershire sauce
- 1 teaspoon Accent
- 1/2 teaspoon season salt
- Pinch of dill weed

Instructions:

1. In a medium bowl, combine the sour cream, mayonnaise, parsley flakes, onion, Worcestershire sauce, Accent, season salt, and dill weed.

2. Mix everything together until combined.

3. Place the salad in an airtight container and chill in the refrigerator for at least 30 minutes before serving. Enjoy!"
"[""sugar"", ""water"", ""active dry yeast"", ""milk"", ""water"", ""salt"", ""sugar"", ""baking powder"", ""raisins"", ""egg yolks"", ""egg whites"", ""flour"", ""oil""]","Sugar Raisin Muffins

Ingredients:

- 1 3/4 cups all-purpose flour
- 2 teaspoons active dry yeast
- 1/2 teaspoon salt
- 1/3 cup sugar
- 1/2 cup milk
- 2 tablespoons oil
- 2 tablespoons water
- 3/4 cup raisins
- 2 egg yolks
- 2 egg whites
- 2 teaspoons baking powder

Instructions:

1. In a large bowl, combine the flour, yeast, salt, and sugar.

2. In a small saucepan, heat the milk, oil, and water until it is just warm (between 115°F and 122°F).

3. Add the warm liquid mixture to the dry ingredients, and stir until a soft dough forms.

4. Turn the dough out onto a lightly floured surface and knead for about 5 minutes, or until the dough is smooth and elastic.

5. Place the dough in a greased bowl, cover with a damp cloth, and let rise in a warm place for about 1 hour, or until doubled in size.

6. When the dough has risen, punch it down and knead in the raisins.

7. Divide the dough into 12 equal pieces and shape each piece into a ball. Place the balls of dough on a greased baking sheet.

8. Beat together the egg yolks and egg whites and brush the tops of the muffins with the egg mixture.

9. Bake at 375°F for 20 minutes, or until golden brown.

10. Remove from the oven and serve warm. Enjoy!"
"[""sweet roll"", ""cinnamon"", ""nuts"", ""milk"", ""butter"", ""brown sugar"", ""vanilla pudding""]","Cinnamon Sweet Roll with Nuts:

Ingredients: 
- 2 cans sweet rolls 
- ½ cup butter, melted 
- 1 ¼ cups brown sugar 
- 2 tablespoons ground cinnamon 
- ¼ cup chopped nuts (almonds, pecans, or walnuts) 
- 1 cup whole milk 
- 1 package of vanilla pudding mix 

Instructions: 
1. Preheat oven to 350 degrees F. Grease a 9x13 inch baking dish. 

2. Separate the sweet roll dough into individual rolls and place in the baking dish. 

3. In a small bowl, mix together the butter, brown sugar, and cinnamon. 

4. Sprinkle the mixture over the sweet rolls. Then sprinkle with the chopped nuts. 

5. Pour the milk over the top of the sweet rolls. 

6. Bake for 25 minutes or until golden brown. 

7. Meanwhile, prepare the vanilla pudding according to package instructions. 

8. Once the sweet rolls are done baking, let cool for 5 minutes then pour the pudding over the top. 

9. Serve warm and enjoy!"
"[""chicken"", ""carrots"", ""garlic"", ""green bell pepper"", ""brown rice"", ""chili powder"", ""tomato sauce"", ""garlic"", ""pepper"", ""water"", ""cider vinegar"", ""onion"", ""olive oil"", ""bay leaf""]","Spicy Chicken and Brown Rice
Ingredients: 
-2 chicken breasts, sliced thinly
-2 carrots, chopped
-3 cloves garlic, minced
-1 green bell pepper, chopped
-1 teaspoon chili powder
-2 tablespoons tomato sauce
-2 cloves garlic, minced
-1 teaspoon black pepper
-1/2 cup water
-2 tablespoons cider vinegar
-1 small onion, diced
-2 tablespoons olive oil
-1 bay leaf
Directions:
1. Heat the olive oil in a large skillet over medium heat.
2. Add the onions and garlic and cook for 3 minutes.
3. Add the chicken and carrots and cook for an additional 5 minutes.
4. Stir in the green bell pepper, chili powder, tomato sauce, pepper, and water. Simmer for 10 minutes.
5. Add the cider vinegar and bay leaf and simmer for an additional 5 minutes.
6. Serve with brown rice and enjoy!"
"[""sweet potatoes"", ""green bell pepper"", ""onion"", ""lemon pepper"", ""mayonnaise"", ""pepper""]","Sweet Potato Salad

Ingredients:
- 2 large sweet potatoes, diced
- 1 green bell pepper, chopped
- 1 onion, chopped
- ½ lemon pepper, to taste
- ¼ cup mayonnaise
- Salt and pepper, to taste

Instructions:
1. Preheat oven to 375°F.
2. Place sweet potato cubes on a baking sheet and lightly spray with cooking oil.
3. Bake for about 25 minutes, until potatoes are tender.
4. In a medium bowl, combine cooked sweet potatoes, bell pepper, onion and lemon pepper.
5. Add in mayonnaise and mix until all ingredients are evenly coated.
6. Season with salt and pepper, to taste.
7. Serve immediately or refrigerate for up to 3 days. Enjoy!"
"[""sugar"", ""flour"", ""baking soda"", ""salt"", ""orange"", ""shortening""]","Orange Shortening Sugar Cookies

Ingredients: 
- 1 cup all-purpose flour 
- 1/2 teaspoon baking soda 
- 1/4 teaspoon salt 
- 1/2 cup shortening 
- 2/3 cup granulated sugar 
- 1 large egg 
- 1 teaspoon orange zest

Instructions:
1. Preheat oven to 375 degrees F. 
2. In a medium bowl, whisk together the flour, baking soda and salt. 
3. In a separate bowl, beat the shortening and sugar with an electric mixer until light and fluffy. 
4. Beat in the egg, then stir in the orange zest. 
5. Gradually add the dry ingredients to the wet ingredients and mix until combined. 
6. Drop spoonfuls of dough onto a lightly greased baking sheet. 
7. Bake for 8-10 minutes or until golden brown. 
8. Allow to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely. Enjoy!"
"[""vegetable shortening"", ""eggs"", ""milk"", ""vanilla"", ""margarine"", ""sugar"", ""flour""]","Vanilla Shortbread Cookies
Ingredients: 
- 1/2 cup shortening
- 2 eggs
- 1/4 cup milk
- 2 teaspoons vanilla
- 1/4 cup margarine
- 1/2 cup sugar
- 2 cups flour

Instructions: 
1. Preheat oven to 375°F.

2. In a medium bowl, cream together shortening and sugar until fluffy. Add eggs, milk and vanilla; mix until well combined.

3. Gradually stir in the flour until all ingredients are fully incorporated. The dough should be thick but pliable.

4. Roll out dough onto a lightly floured surface until it is about ¼-inch thick. With a cookie cutter or glass, cut out cookies and place on a greased baking sheet.

5. Bake for 10 minutes or until lightly golden. Allow to cool before serving. Enjoy!"
"[""ground sausage"", ""noodles"", ""rosemary"", ""basil"", ""cayenne pepper"", ""sage"", ""oregano"", ""bell pepper"", ""onion"", ""watch"", ""mozzarella cheese""]","Sausage and Noodle Rosemary Casserole
Ingredients:
- 2 tablespoons olive oil
- 1 pound ground sausage
- 2 cloves garlic, minced
- 1/2 teaspoon cayenne pepper
- 8 ounces noodles
- 2 cups chicken broth
- 2 tablespoons fresh rosemary, chopped
- 2 tablespoons fresh basil, chopped
- 1 teaspoon sage
- 1 teaspoon oregano
- 1/2 teaspoon bell pepper
- 1/4 cup diced onion
- 1/4 cup grated mozzarella cheese

Instructions:
1. Preheat oven to 350 degrees F.
2. Heat the olive oil in a large skillet over medium heat. Add the sausage and cook until browned, about 5 minutes.
3. Add the garlic, cayenne pepper, noodles, chicken broth, rosemary, basil, sage, oregano, bell pepper, and onion. Simmer for another 5 minutes.
4. Transfer to a greased 9x13 inch baking dish. Top with mozzarella cheese.
5. Bake for 20 minutes or until heated through. Enjoy!"
"[""mushrooms"", ""butter"", ""basil"", ""salt"", ""whipping cream"", ""Parmesan cheese"", ""tomatoes""]","Mushroom Parmesan Cream Pasta
Ingredients:
- 2 tablespoons of butter
- 1/4 cup of chopped basil
- 2 cups of sliced mushrooms
- 1/2 teaspoon salt
- 1/4 cup heavy whipping cream
- 1/3 cup grated Parmesan cheese
- 1/2 cup diced tomatoes
Instructions:
1. Heat the butter in a large skillet over medium heat.
2. Add the mushrooms and cook, stirring occasionally, until they are softened and lightly browned, about 5 minutes. 
3. Add the basil and salt, cooking for another 2 minutes.
4. Pour in the heavy cream and stir to combine.
5. Bring the mixture to a boil then reduce the heat to low and simmer for 10 minutes or until the sauce has thickened.
6. Add the Parmesan cheese, stirring until melted.
7. Add the diced tomatoes and stir to combine.
8. Cook for an additional 5 minutes.
9. Serve over your favorite type of pasta. Enjoy!"
"[""wieners"", ""bottles""]","Weiner Bottle Kabobs
Ingredients:
- 8 hot dogs
- 1 (16 oz) bottle of your favorite barbecue sauce
- 8 skewers or wooden toothpicks
- 2 (16 oz) bottles of your favorite salad dressing
Instructions:
1. Preheat your grill to medium-high heat, about 400°F.

2. Slice the hot dogs into 1 inch thick pieces and place them on the skewers.

3. Place the kabobs on the preheated grill and cook for 3-5 minutes, flipping often to brown each side.

4. Once the hot dogs are cooked, brush with barbecue sauce and turn off the grill.

5. Serve the kabobs with a side of salad dressing for dipping. Enjoy!"
"[""green pepper"", ""onion"", ""garlic"", ""oil"", ""tomatoes"", ""kidney beans"", ""pinto beans"", ""whole kernel corn"", ""water"", ""long grain rice"", ""chili powder"", ""ground cumin""]","Green Pepper Onion Stir Fry

Ingredients: 
- 2 green peppers, diced
- 1 onion, diced
- 4 cloves garlic, minced
- 2 tablespoons olive oil
- 2 tomatoes, chopped
- ½ cup kidney beans, cooked
- ½ cup pinto beans, cooked
- ¼ cup whole kernel corn
- ¼ cup water
- ½ cup long grain rice, cooked
- 1 teaspoon chili powder
- ½ teaspoon ground cumin

Instructions:

1. Heat olive oil in a large skillet over medium-high heat.
2. Add garlic and onions and sauté for 2 minutes until golden brown.
3. Add green peppers and cook for an additional 2 minutes.
4. Add tomatoes, kidney beans, pinto beans, and whole kernel corn to the skillet and stir-fry for 3 minutes, stirring occasionally.
5. Add water, long grain rice, chili powder, and ground cumin. Stir and cook for an additional 4 minutes, until the vegetables are tender.
6. Serve the Green Pepper Onion Stir Fry warm. Enjoy!"
"[""chocolate cake mix"", ""containers"", ""Kahlua liqueur""]","Chocolate Cake Mix Kahlua Liqueur Cupcakes

Ingredients:

- 1 package chocolate cake mix
- 2/3 cup of water
- 2 large eggs
- 1/3 cup of vegetable oil
- 1/4 cup Kahlua liquer

Instructions:

1. Preheat your oven to 350 degrees F and line a cupcake pan with paper liners.

2. In a medium bowl, whisk together the chocolate cake mix, water, eggs and vegetable oil until smooth.

3. Gently stir in the Kahlua liquer, ensuring it is distributed throughout the batter.

4. Scoop the batter into the prepared cupcake pan, filling each cavity about two-thirds full.

5. Bake for 18-20 minutes or until an inserted toothpick comes out clean.

6. Allow the cupcakes to cool in the pan for 10 minutes before transferring them to a wire cooling rack. Enjoy!"
